substrand_id;indicator_id;weight
40600207 ;406212;1
40600301 ;406301;1
40600301 ;406302;1
40600301 ;406303;0
40600301 ;406304;0
40600301 ;406305;0
40600301 ;406306;0
40600302 ;406301;0
40600302 ;406302;0
40600302 ;406303;1
40600302 ;406304;0
40600302 ;406305;0
40600302 ;406306;0
40600303 ;406301;0
40600303 ;406302;0
40600303 ;406303;0
40600303 ;406304;1
40600303 ;406305;1
40600303 ;406306;1
40600401 ;406401;1
40600401 ;406402;1
40700101 ;407101;1
40700101 ;407102;1
40700102 ;407101;1
40700102 ;407102;0
40700103 ;407101;1
40700103 ;407102;0
40700104 ;407101;1
40700104 ;407102;0
40700105 ;407101;1
40700105 ;407102;0
40700106 ;407101;1
40700106 ;407102;1
40700201 ;407201;1
40700201 ;407202;0
40700201 ;407203;0
40700202 ;407201;1
40700202 ;407202;1
40700202 ;407203;1
40700203 ;407201;1
40700203 ;407202;1
40700203 ;407203;1
40700204 ;407201;1
40700204 ;407202;1
40700204 ;407203;1
40700205 ;407201;1
40700205 ;407202;1
40700205 ;407203;1
40700206 ;407201;1
40700206 ;407202;1
40700206 ;407203;1
40700301 ;407301;1
40700301 ;407302;0
40700301 ;407303;0
40700301 ;407304;0
40700301 ;407305;1
40700302 ;407301;0
40700302 ;407302;1
40700302 ;407303;0
40700302 ;407304;0
40700302 ;407305;1
40700303 ;407301;0
40700303 ;407302;0
40700303 ;407303;1
40700303 ;407304;1
40700303 ;407305;1
40700304 ;407301;0
40700304 ;407302;0
40700304 ;407303;1
40700304 ;407304;1
40700304 ;407305;1
40700305 ;407301;0
40700305 ;407302;0
40700305 ;407303;1
40700305 ;407304;1
40700305 ;407305;1
40700306 ;407301;0
40700306 ;407302;0
40700306 ;407303;0
40700306 ;407304;0
40700306 ;407305;1
40700307 ;407301;0
40700307 ;407302;0
40700307 ;407303;0
40700307 ;407304;0
40700307 ;407305;1
40700308 ;407301;0
40700308 ;407302;0
40700308 ;407303;0
40700308 ;407304;1
40700308 ;407305;1
40700309 ;407301;0
40700309 ;407302;0
40700309 ;407303;0
40700309 ;407304;1
40700309 ;407305;1
40700310 ;407301;0
40700310 ;407302;0
40700310 ;407303;0
40700310 ;407304;1
40700310 ;407305;1
40700401 ;407401;1
40700401 ;407402;1
40700402 ;407401;1
40700402 ;407402;1
40700403 ;407401;1
40700403 ;407402;1
40700404 ;407401;1
40700404 ;407402;1
40700405 ;407401;1
40700405 ;407402;1
40700406 ;407401;1
40700406 ;407402;1
40700501 ;407501;1
40700501 ;407502;0
40700501 ;407503;1
40700501 ;407504;0
40700502 ;407501;1
40700502 ;407502;1
40700502 ;407503;0
40700502 ;407504;0
40700503 ;407501;1
40700503 ;407502;0
40700503 ;407503;1
40700503 ;407504;0
40700504 ;407501;1
40700504 ;407502;0
40700504 ;407503;1
40700504 ;407504;0
40700505 ;407501;1
40700505 ;407502;0
40700505 ;407503;0
40700505 ;407504;1
40700506 ;407501;1
40700506 ;407502;0
40700506 ;407503;0
40700506 ;407504;1
40700601 ;407601;1
40800101 ;408101;1
40800101 ;408102;1
40800201 ;408201;1
40800201 ;408202;1
40800202 ;408201;1
40800202 ;408202;1
40800203 ;408201;1
40800203 ;408202;1
40800204 ;408201;1
40800204 ;408202;1
40800301 ;408301;1
40800301 ;408302;0
40800302 ;408301;1
40800302 ;408302;1
40800303 ;408301;0
40800303 ;408302;1
40800401 ;408401;1
40800402 ;408401;1
40800403 ;408401;1
40800404 ;408401;1
40800501 ;408501;1
40800501 ;408502;0
40800502 ;408501;1
40800502 ;408502;0
40800503 ;408501;1
40800503 ;408502;0
40800504 ;408501;0
40800504 ;408502;1
40800505 ;408501;1
40800505 ;408502;0
40800601 ;408601;1
40800602 ;408601;1
40800603 ;408601;1
40800701 ;408701;1
40800702 ;408701;1
40800703 ;408701;1
40900101 ;409101;1
40900101 ;409102;1
40900101 ;409103;1
40900201 ;409201;1
40900201 ;409202;1
40900301 ;409301;1
40900301 ;409302;1
40900401 ;409401;1
40900401 ;409402;1
40900501 ;409501;1
40900501 ;409502;1
40900501 ;409503;1
40900601 ;409601;1
40900601 ;409602;1
40900701 ;409701;1
40900801 ;409801;1
40900801 ;409802;0
40900802 ;409801;0
40900802 ;409802;1
41000101 ;410101;1
41000102 ;410101;1
41000103 ;410101;1
41000104 ;410101;1
41000105 ;410101;1
41000201 ;410201;1
41000202 ;410201;1
41000203 ;410201;1
41000204 ;410201;1
41000205 ;410201;1
41000206 ;410201;1
41000207 ;410201;1
41000301 ;410301;1
41200101 ;412101;1
41200101 ;412102;0
41200101 ;412103;0
41200101 ;412104;0
41200102 ;412101;0
41200102 ;412102;0
41200102 ;412103;1
41200102 ;412104;0
41200103 ;412101;0
41200103 ;412102;1
41200103 ;412103;0
41200103 ;412104;0
41200104 ;412101;0
41200104 ;412102;0
41200104 ;412103;1
41200104 ;412104;0
41200105 ;412101;0
41200105 ;412102;0
41200105 ;412103;0
41200105 ;412104;1
41200201 ;412201;1
41200201 ;412202;0
41200202 ;412201;0
41200202 ;412202;1
41200301 ;412301;1
41200301 ;412302;1
41200301 ;412303;0
41200302 ;412301;0
41200302 ;412302;0
41200302 ;412303;1
41200401 ;412401;1
41200401 ;412402;0
41200401 ;412403;0
41200402 ;412401;1
41200402 ;412402;1
41200402 ;412403;0
41200403 ;412401;0
41200403 ;412402;0
41200403 ;412403;1
41200501 ;412501;1
41200501 ;412502;0
41200501 ;412503;0
41200502 ;412501;0
41200502 ;412502;1
41200502 ;412503;0
41200503 ;412501;0
41200503 ;412502;0
41200503 ;412503;1
41200504 ;412504;1
41200504 ;412505;0
41200504 ;412506;0
41200504 ;412507;0
41200505 ;412504;0
41200505 ;412505;1
41200505 ;412506;0
41200505 ;412507;0
41200506 ;412504;0
41200506 ;412505;0
41200506 ;412506;1
41200506 ;412507;0
41200507 ;412504;0
41200507 ;412505;0
41200507 ;412506;0
41200507 ;412507;1
50100101 ;501101;1
50100101;501102;0
50100101;501103;1
50100102;501101;0
50100102;501102;0
50100102;501103;1
50100103;501101;0
50100103;501102;1
50100103;501103;1
50100104;501101;0
50100104;501102;1
50100104;501103;1
50100105;501101;1
50100105;501102;0
50100105;501103;1
50100106;501101;0
50100106;501102;1
50100106;501103;1
50100107;501101;0
50100107;501102;1
50100107;501103;1
50100108;501101;0
50100108;501102;0
50100108;501103;1
50100109;501101;0
50100109;501102;1
50100109;501103;1
50100110;501101;0
50100110;501102;1
50100110;501103;1
50100111;501101;1
50100111;501102;1
50100111;501103;1
50100112;501101;0
50100112;501102;1
50100112;501103;1
50100113;501101;1
50100113;501102;1
50100113;501103;1
50100201;501201;0
50100201;501202;0
50100201;501203;1
50100202;501201;1
50100202;501202;1
50100202;501203;0
50100203;501201;1
50100203;501202;1
50100203;501203;0
50100204;501201;0
50100204;501202;1
50100204;501203;0
50100205;501201;1
50100205;501202;0
50100205;501203;1
50100206;501201;1
50100206;501202;1
50100206;501203;0
50100207;501201;1
50100207;501202;0
50100207;501203;1
50100208;501201;1
50100208;501202;1
50100208;501203;1
50100209;501201;1
50100209;501202;1
50100209;501203;0
50100210;501201;1
50100210;501202;1
50100210;501203;0
50100211;501201;1
50100211;501202;1
50100211;501203;1
50100212;501201;1
50100212;501202;1
50100212;501203;0
50100213;501201;1
50100213;501202;0
50100213;501203;1
50100301;501301;1
50100302;501301;1
50100303;501301;1
50100304;501301;1
50100305;501301;1
50100306;501301;1
50100307;501301;1
50100308;501301;1
50100309;501301;1
50100310;501301;1
50100311;501301;1
50100312;501301;1
50100313;501301;1
50100401;501401;1
50100401;501402;1
50100401;501403;0
50100402;501401;1
50100402;501402;0
50100402;501403;1
50100403;501401;1
50100403;501402;0
50100403;501403;0
50100404;501401;1
50100404;501402;1
50100404;501403;0
50100405;501401;1
50100405;501402;0
50100405;501403;1
50100406;501401;1
50100406;501402;0
50100406;501403;1
50100407;501401;1
50100407;501402;1
50100407;501403;1
50100408;501401;1
50100408;501402;0
50100408;501403;1
50100409;501401;1
50100409;501402;1
50100409;501403;1
50100410;501401;1
50100410;501402;0
50100410;501403;1
50100411;501401;1
50100411;501402;1
50100411;501403;1
50100412;501401;1
50100412;501402;1
50100412;501403;1
50100413;501401;1
50100413;501402;1
50100413;501403;1
50200101;502101;1
50200101;502102;1
50200101;502103;1
50200101;502104;0
50200102;502101;1
50200102;502102;1
50200102;502103;1
50200102;502104;0
50200103;502101;1
50200103;502102;1
50200103;502103;1
50200103;502104;1
50200104;502101;1
50200104;502102;1
50200104;502103;1
50200104;502104;0
50200105;502101;1
50200105;502102;1
50200105;502103;1
50200105;502104;1
50200106;502101;1
50200106;502102;1
50200106;502103;1
50200106;502104;1
50200107;502101;0
50200107;502102;1
50200107;502103;1
50200107;502104;0
50200108;502101;0
50200108;502102;1
50200108;502103;1
50200108;502104;1
50200109;502101;1
50200109;502102;1
50200109;502103;1
50200109;502104;0
50200110;502101;0
50200110;502102;1
50200110;502103;1
50200110;502104;1
50200111;502101;1
50200111;502102;1
50200111;502103;1
50200111;502104;0
50200201;502201;1
50200201;502202;1
50200201;502203;1
50200201;502204;0
50200201;502205;0
50200202;502201;1
50200202;502202;1
50200202;502203;0
50200202;502204;0
50200202;502205;0
50200203;502201;1
50200203;502202;0
50200203;502203;1
50200203;502204;0
50200203;502205;0
50200204;502201;0
50200204;502202;0
50200204;502203;0
50200204;502204;1
50200204;502205;1
50200205;502201;1
50200205;502202;1
50200205;502203;1
50200205;502204;0
50200205;502205;0
50200206;502201;1
50200206;502202;1
50200206;502203;0
50200206;502204;0
50200206;502205;0
50200207;502201;0
50200207;502202;0
50200207;502203;0
50200207;502204;1
50200207;502205;1
50200208;502201;1
50200208;502202;1
50200208;502203;1
50200208;502204;0
50200208;502205;0
50200209;502201;0
50200209;502202;0
50200209;502203;0
50200209;502204;1
50200209;502205;1
50200210;502201;1
50200210;502202;1
50200210;502203;0
50200210;502204;1
50200210;502205;1
50200211;502201;1
50200211;502202;0
50200211;502203;1
50200211;502204;0
50200211;502205;0
50200301;502301;1
50200301;502302;1
50200302;502301;1
50200302;502302;1
50200303;502301;0
50200303;502302;1
50200304;502301;1
50200304;502302;1
50200305;502301;1
50200305;502302;1
50200306;502301;1
50200306;502302;1
50200307;502301;1
50200307;502302;1
50200308;502301;1
50200308;502302;1
50200309;502301;1
50200309;502302;1
50200310;502301;1
50200310;502302;1
50200311;502301;1
50200311;502302;1
50200401;502401;1
50200401;502402;1
50200401;502403;0
50200401;502404;0
50200401;502405;0
50200401;502406;0
50200402;502401;1
50200402;502402;0
50200402;502403;1
50200402;502404;0
50200402;502405;1
50200402;502406;1
50200403;502401;1
50200403;502402;1
50200403;502403;0
50200403;502404;0
50200403;502405;0
50200403;502406;0
50200404;502401;1
50200404;502402;1
50200404;502403;0
50200404;502404;0
50200404;502405;0
50200404;502406;0
50200405;502401;1
50200405;502402;0
50200405;502403;0
50200405;502404;0
50200405;502405;0
50200405;502406;0
50200406;502401;1
50200406;502402;0
50200406;502403;0
50200406;502404;0
50200406;502405;0
50200406;502406;0
